qv,pv,su,rate
0.2495533057085163,7.277483716561575e-10,30,NA
0.31608074396371855,1.981271875077864e-10,60,0.2390722351732463
0.3701831075251426,6.856674877940387e-10,90,0.16481198528564053
0.4024076980599737,6.112094589130757e-10,120,0.1185614314211309
0.4474718117644845,6.941320070813495e-10,150,0.08281503617676846
0.4762734326116185,4.3743200446415276e-10,180,0.05871433048161542
0.47900595975133553,2.5759926971461594e-10,210,0.038690045911531724
0.4964437473035299,3.200181508677957e-10,240,0.028548840190114392
0.5165501207669367,5.51118758973252e-10,270,0.027234188135284745
0.5247044122477009,4.407034734431152e-10,300,0.02548207556261089
0.5384565228706886,6.79758288177866e-10,330,0.025944591463463826
0.551280613200632,7.74042438706022e-10,360,0.023163790457777875
0.5810208057778892,6.820321236489062e-10,390,0.020663466921615213
0.553512787837414,4.247997478410391e-10,420,0.018846077399275452
0.5923740788932211,2.2461648274858803e-10,450,0.017005239342166207
